1	155912405972
2	1423
3	1494
4	3117
5	1543
6	2762
7	2761
8	1532
9	3863
10	1457
11	1584
12	2738
13	2674
14	3035
15	1186
16	2966
17	1578
18	2565
19	2656
20	3486
21	4004
22	616
23	4608
24	330
25	1305
26	4122
27	3933
28	168
29	2937
30	2424
31	3786
32	333
33	4701
34	7851
35	3941
36	319
37	157
38	202
39	6578
40	320
41	656
42	205
43	2542
44	3254
45	2272
46	1167
47	2557
48	4576
49	625
50	2897
51	1501
52	2136
53	2477
54	2970
55	1397
56	3651
57	1155
58	2581
59	2617
60	2676
61	1938
62	2312
63	2247
64	3578
65	1241
66	2577
67	2759
68	3260
69	1456
70	2680
71	3449
72	1362
73	1295
74	2434
75	4633
76	1330
77	1384
78	2456
79	2320
80	2238
81	3326
82	1446
83	2287
84	2490
85	2772
86	2807
87	1381
88	3987
89	1354
90	2242
91	2198
92	2109
93	2891
94	5461
95	596
96	1619
97	3691
98	1561
99	4751
100	1740
