1	155912391561
2	4160
3	2388
4	2342
5	2322
6	2322
7	2332
8	2310
9	2683
10	2365
11	2313
12	2321
13	2384
14	2315
15	2314
16	2325
17	2317
18	2303
19	2318
20	3108
21	2333
22	2403
23	2374
24	2410
25	2340
26	2345
27	2382
28	2605
29	2331
30	2347
31	2337
32	2315
33	2319
34	2346
35	2479
36	2382
37	2341
38	2339
39	2532
40	2383
41	2384
42	2346
43	3911
44	2431
45	2345
46	2347
47	2319
48	2328
49	2362
50	2806
51	2365
52	2352
53	2388
54	2360
55	2323
56	2389
57	2342
58	2426
59	2328
60	2321
61	2333
62	2311
63	2308
64	2340
65	2325
66	2334
67	2331
68	2452
69	2489
70	2345
71	2318
72	2366
73	2428
74	2324
75	2421
76	3063
77	2351
78	2346
79	2321
80	2327
81	2310
82	2358
83	2317
84	2400
85	2346
86	2339
87	2372
88	2386
89	2354
90	2384
91	2425
92	2337
93	2364
94	3426
95	2305
96	2306
97	2481
98	2356
99	3624
100	2353
